tf_container  | Epoch 19 Batch 1400 Loss 0.3903
tf_container  | Epoch 19 Loss 0.400964
tf_container  | Time taken for 1 epoch 369.68250131607056 sec
tf_container  |
tf_container  | Epoch 20 Batch 0 Loss 0.4154
tf_container  | Epoch 20 Batch 100 Loss 0.4244
tf_container  | Epoch 20 Batch 200 Loss 0.4082
tf_container  | Epoch 20 Batch 300 Loss 0.4138
tf_container  | Epoch 20 Batch 400 Loss 0.4094
tf_container  | Epoch 20 Batch 500 Loss 0.3937
tf_container  | Epoch 20 Batch 600 Loss 0.4097
tf_container  | Epoch 20 Batch 700 Loss 0.4078
tf_container  | Epoch 20 Batch 800 Loss 0.3958
tf_container  | Epoch 20 Batch 900 Loss 0.3765
tf_container  | Epoch 20 Batch 1000 Loss 0.4048
tf_container  | Epoch 20 Batch 1100 Loss 0.4201
tf_container  | Epoch 20 Batch 1200 Loss 0.4358
tf_container  | Epoch 20 Batch 1300 Loss 0.3806
tf_container  | Epoch 20 Batch 1400 Loss 0.3805
tf_container  | Epoch 20 Loss 0.394665
tf_container  | Time taken for 1 epoch 368.5203700065613 sec
tf_container  |
tf_container  | Epoch 21 Batch 0 Loss 0.4119
tf_container  | Epoch 21 Batch 100 Loss 0.4323
tf_container  | Epoch 21 Batch 200 Loss 0.3997
tf_container  | Epoch 21 Batch 300 Loss 0.4071
tf_container  | Epoch 21 Batch 400 Loss 0.4139
tf_container  | Epoch 21 Batch 500 Loss 0.3992
tf_container  | Epoch 21 Batch 600 Loss 0.4113
tf_container  | Epoch 21 Batch 700 Loss 0.3968
tf_container  | Epoch 21 Batch 800 Loss 0.3952
tf_container  | Epoch 21 Batch 900 Loss 0.3757
tf_container  | Epoch 21 Batch 1000 Loss 0.3879
tf_container  | Epoch 21 Batch 1100 Loss 0.4046
tf_container  | Epoch 21 Batch 1200 Loss 0.4036
tf_container  | Epoch 21 Batch 1300 Loss 0.3799
tf_container  | Epoch 21 Batch 1400 Loss 0.3868
tf_container  | Epoch 21 Loss 0.390958
tf_container  | Time taken for 1 epoch 371.47253489494324 sec
tf_container  |
tf_container  | Epoch 22 Batch 0 Loss 0.4066
tf_container  | Epoch 22 Batch 100 Loss 0.4294
tf_container  | Epoch 22 Batch 200 Loss 0.3979
tf_container  | Epoch 22 Batch 300 Loss 0.4012
tf_container  | Epoch 22 Batch 400 Loss 0.4062
tf_container  | Epoch 22 Batch 500 Loss 0.3838
tf_container  | Epoch 22 Batch 600 Loss 0.3821
tf_container  | Epoch 22 Batch 700 Loss 0.3961
tf_container  | Epoch 22 Batch 800 Loss 0.3818
tf_container  | Epoch 22 Batch 900 Loss 0.3532
tf_container  | Epoch 22 Batch 1000 Loss 0.3823
tf_container  | Epoch 22 Batch 1100 Loss 0.3983
tf_container  | Epoch 22 Batch 1200 Loss 0.4021
